user_id,screen_name,name,followers_count,current_influence_score,recommended_post_frequency,recommended_hashtags,recommended_mentions,best_posting_time,recommended_content_type
214201922,Ninja,Ninja,6530430.0,-0.1195908135585783,7.8,2.4,0.6,evening,video
1542453360,shroud,Michael Grzesiek,1845400.0,-0.4424982316274114,8.0,2.0,1.4,evening,video
2163885564,Myth_,Myth,2406095.0,-0.3788565401381593,8.4,1.6,1.4,afternoon,video
4140881832,DrLupo,DrLupo,1816114.0,-0.3995558073982447,8.6,2.2,1.6,afternoon,video
995979576,timthetatman,timthetatman👑,2818864.0,-0.3025284886338898,8.2,0.6,1.8,morning,video
204089551,Syndicate,Tom,1958861.0,-0.3420927485548275,7.2,2.0,1.6,morning,video
1708443876,summit1g,summit1g,1001120.0,-0.3881624331357939,6.8,2.6,1.2,afternoon,video
375438116,pokimane,pokimane,476.0,-0.4365212108816354,7.6,2.0,0.6,morning,video
2559865245,Tfue,Tfue,4067596.0,-0.1106357446898284,8.4,2.8,1.2,afternoon,video
77596200,Jacksepticeye,Jacksepticeye,7629168.0,0.1794990245393123,8.4,0.8,1.0,morning,video
2708191476,Valkyrae,RAE,2945543.0,-0.1354434352695765,8.4,2.2,1.2,morning,video
2260704146,Quackity,Quackity,5779799.0,0.1059449173135377,7.8,2.0,1.4,morning,video
1056396672,TheGrefg,Grefg =),8386012.0,0.3346852329488305,7.6,3.0,1.4,morning,video
1165011598672650240,jynxzi,Jynxzi,608997.0,-0.1945619494739058,7.8,1.8,1.4,evening,video
517077573,markiplier,Mark,13867179.0,0.8361002604852354,7.6,3.2,1.4,evening,video
631800264,sssniperwolf,Lia,1074462.0,-0.0292923326844923,8.8,1.6,1.0,afternoon,video
155620461,OMGitsAliA,Ali-A,2384421.0,0.2143546424734694,7.6,1.2,1.4,morning,video
272570677,scump,OpTic Scump,2240935.0,1.609155658285958,7.6,1.8,1.4,afternoon,video
