name,username,profile_status,user_id,verified,followers,friends,statuses,media_count
Dream,Dream,active,183905912,True,5779184,391,693,76
Ninja,Ninja,active,214201922,True,6530433,1515,46059,6982
pewdiepie,pewdiepie,active,1203880363,False,509160,0,0,0
RAE,Valkyrae,active,2708191476,True,2945510,979,25991,1555
Michael Grzesiek,shroud,active,1542453360,True,1845399,1045,9812,986
pokimane,pokimanelol,active,2244953047,True,4183159,1790,23998,3217
Dr Disrespect,DrDisrespect,active,146556805,True,2427653,499,11633,3044
Jacksepticeye,Jacksepticeye,active,77596200,True,7629156,528,18929,1962
theRadBrad,thaRadBrad,active,173332472,True,613949,245,6957,1360
bugha,bugha,active,4883526088,True,1991373,1040,3463,836
Speed⭐️,ishowspeedsui,active,1040214455525797888,True,3682028,172,533,185
Grefg =),TheGrefg,active,1056396672,True,8386025,1831,52112,17897
MrBeast,MrBeast,active,2455740283,True,32621694,2101,7197,911
