username,retweet_average,like_average,replies_average,post_text,views,date_created,replies,retweets,likes
Dream,2488.0,28820.7,1256.3,Going Live Saturday at 2PM EST. I have some announcements... https://t.co/vmIRuWBfV9,544013,Thu Apr 24 00:33:16 +0000 2025,296,631,4931
Dream,2488.0,28820.7,1256.3,my wrapped https://t.co/JA05z1RPzD,861723,Wed Dec 04 21:06:13 +0000 2024,716,809,9975
Dream,2488.0,28820.7,1256.3,so thankful for my blessings this thanksgiving https://t.co/n90IAMwcn9,658084,Thu Nov 28 18:24:05 +0000 2024,723,582,8649
Dream,2488.0,28820.7,1256.3,happy Halloween 🎃 https://t.co/OPsuwlIggz,1730259,Fri Nov 01 03:30:29 +0000 2024,716,1662,15580
Dream,2488.0,28820.7,1256.3,happy Father’s Day to the GOAT! thank you for always keeping me fed ❤️ https://t.co/Y8w4nUFI5R,2720867,Sun Jun 16 22:49:00 +0000 2024,1274,919,15534
Dream,2488.0,28820.7,1256.3,@WilburSoot https://t.co/O5Kg7yS5x2,18496851,Wed Feb 28 06:05:13 +0000 2024,3218,9302,108016
Dream,2488.0,28820.7,1256.3,"I did a thing with @WIRED 😁

https://t.co/6SMRSHlKhM https://t.co/lwqz9nhJiA",2564486,Thu Oct 05 16:52:31 +0000 2023,976,2225,24229
Dream,2488.0,28820.7,1256.3,first tour going great https://t.co/P0gxVPMU14,484,Tue Sep 26 21:02:52 +0000 2023,1147,2800,35674
Dream,2488.0,28820.7,1256.3,guys I put out 7 songs please listen to them I know I said to whoever wants to hear but please I put my heart and soul into it https://t.co/8HjLSuaJCZ,1795626,Sun Sep 03 13:08:40 +0000 2023,1303,1913,28541
Dream,2488.0,28820.7,1256.3,moon 🌙 https://t.co/4TrT5wgZHc,1601675,Wed Aug 23 16:20:42 +0000 2023,2194,4037,37078
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,Thank you so much for having my family and I at the show opener for the tour. You are so insanely talented and it was one of the best shows I’ve ever been to @keithurban https://t.co/XVmPwyEqY2,189053,Fri May 23 18:35:23 +0000 2025,20,24,1931
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,Asking Darth Vader AI if the low taper fade meme is still MASSIVE https://t.co/ZcOM1V4ru9,835189,Fri May 16 14:36:02 +0000 2025,125,856,16090
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,At the @F1 Miami GP with the @NHL @StanleyCup https://t.co/T2qxkQl80O,145798,Sat May 03 17:39:36 +0000 2025,59,39,1717
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,🏌️ https://t.co/MxOr4Gy8VH,612213,Thu Apr 24 20:46:45 +0000 2025,245,138,5291
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,I’M A PROBLEM https://t.co/OkRIAI17ki,614,Sat Apr 19 15:21:13 +0000 2025,58,45,1089
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,". @timthetatman  doesn't have just a cake, he's the whole bakery https://t.co/DVBoQJVMCY",513758,Fri Apr 11 20:06:59 +0000 2025,170,418,8954
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,CAUGHT IN 4K AGAIN 😳😳 https://t.co/pIpLMkDAUP,633537,Fri Apr 04 21:27:47 +0000 2025,103,415,10640
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,Massive shoutout to the @tigers for sending me this awesome 1/30 jacket! Super blessed and proud to rep this. Let’s get this dub today at the home opener! ⚾️ #DetroitTigers https://t.co/lEUPrwBh1L,135516,Fri Apr 04 18:29:39 +0000 2025,60,105,1653
Ninja,233.77777777777777,5482.666666666667,101.11111111111111,Finals @TGL ⛳️ https://t.co/7b4vuTcFux,181140,Tue Mar 25 22:58:47 +0000 2025,70,64,1979
Valkyrae,1327.5,26422.7,215.5,"live in Paris!

Playing Elden Ring nightreign with emi and Cinna :)

https://t.co/PeTQ03isek https://t.co/wwaI3oy44I",168789,Sun May 25 14:05:16 +0000 2025,77,153,6792
Valkyrae,1327.5,26422.7,215.5,tea party attire 🎀 https://t.co/SunxoQjjxN,495255,Sat May 10 18:38:41 +0000 2025,243,849,30453
Valkyrae,1327.5,26422.7,215.5,"new vid!!

robbing hot topic with friends 

🎉 https://t.co/FyKgkkG1Dn https://t.co/1olHF0N1kz",198041,Wed May 07 16:48:13 +0000 2025,36,155,4225
Valkyrae,1327.5,26422.7,215.5,👀🎉 https://t.co/pPVmWLVqKz,462770,Tue Apr 29 01:19:43 +0000 2025,238,408,28785
Valkyrae,1327.5,26422.7,215.5,"a very late japan vlog ft. a bunch of streamer friends :)

enjoy! &lt;3 https://t.co/0UHqaF2EJV https://t.co/V91MXTIWgr",201267,Sun Apr 27 20:53:03 +0000 2025,41,154,5908
Valkyrae,1327.5,26422.7,215.5,😠 https://t.co/eY8BPHSQtq,1095688,Thu Apr 10 18:13:50 +0000 2025,489,1118,48535
Valkyrae,1327.5,26422.7,215.5,"hiii long stream today!

@100Thieves surprised me with a signed Lisa album to giveaway today! Doing that at 1pm pt on stream

Then playing repo with ellums lobby, then valo customs then repo again with Cinna’s lobby :)

https://t.co/PeTQ03j03S https://t.co/FIeodZYdXu",299008,Fri Mar 07 20:05:23 +0000 2025,45,513,5343
Valkyrae,1327.5,26422.7,215.5,lalisaaaaaaa!!!!!!!! https://t.co/X9TtgQueRo,1445000,Wed Mar 05 22:50:01 +0000 2025,377,8250,71407
Valkyrae,1327.5,26422.7,215.5,"PLAYING EVERY MARIO PARTY MARATHON 

Multi streaming on Twitch and YouTube!

https://t.co/PeTQ03j03S https://t.co/SrorrCGJYb",392062,Sat Mar 01 20:22:15 +0000 2025,31,139,4311
Valkyrae,1327.5,26422.7,215.5,curly girlies 🙂‍↕️ https://t.co/0xDHJUxNZF,2128856,Sat Mar 01 01:31:12 +0000 2025,578,1536,58468
shroud,23.3,765.9,28.5,"The entire group of people working on this event did an incredible job. The casting, production, graphics, players and teams, all of it was insane. Huge thanks to @RivalsRFN and @MarvelRivals for making it all happen. Thank you everyone!! https://t.co/DMg5eroX3x",39814,Sun May 18 12:10:33 +0000 2025,4,10,151
